"spp","long","lat","He","He_harm","He_harm2","He_harm3","Source","Marker","min_dist","He_harm_w","He_harm2_w","He_harm3_w","ID","sp_name_std_v1","Article_ID","Study_ID","Type","Param","Trend","SHIFT","UNIT","DUR","v.lat.mean","v.ele.mean","trend.mean","START","END","Sampling","Uncertainty_Distribution","Uncertainty_Parameter","Nperiodes","N","Grain_size","Data","ID.area","group","Hemisphere","SHIFT_abs","velocity","vel_sign","Name","Article","DOI","LatCentDeg","LonCentDeg","Areakm2","LatExtentk","EleExtentm","Eleminm","Elemaxm","Elemeanm","Extent","NtempUnits","LogNtempUnits","Grain","ContinuousGrain","Quality","PrAb","StartF","ExtentF","AreaF","NtaxaF","obs_ID","Kingdom","Phylum","Class","Order","Family","Genus","Group","ECO","centroid.x","centroid.y","max_lat.x","max_lat.y","min_lat.x","min_lat.y","shift_sign","shift_vel_sign","lag","lag2","lag3"
"Fringilla coelebs",-16.46087,28.35497168,0.714,0.71830985915493,0.914745483050232,-0.166620995815347,"De Kort","Microsatellite",4520440.06235061,0.760705404793054,1.1381298273986,0.0104231839213427,"A135_P1","Fringilla coelebs","A135","P1","ELE","O","22.41044095",2.037313,"m/year",11,-0.470659,-3.225668,-0.01288088,2001,2011,"TWO","PROCESSED","yes",2,101,"moderate","abundance-based",4.3648072279885,"vertebrate","N",2.037313,-3.225668,"neg","A135_P1","Tayleur_al_2015_GEB","10.1111/geb.12308",16.74447,62.816,446026.13,1276.02,2014.18,0,2014.18,321.88,2014.18,2,0.693147180559945,"moderate",2,"BALANCED","abundance","(1.99e+03,2.01e+03]","(1.75e+03,4.09e+03]","(62.4,1.23e+04]","(99,277]","S7990","Animalia","Chordata","Aves","Passeriformes","Fringillidae","Fringilla","Bird","T",16.74446671,62.81600311,20.5332472818366,69.0612680633705,13.3512563541975,55.3287322289093,"pos","posneg",5.262981,3.225668,0
"Fringilla coelebs",-16.46087,28.35497168,0.714,0.71830985915493,0.914745483050232,-0.166620995815347,"De Kort","Microsatellite",3664407.2246152,0.760426946493094,1.1366532712393,0.00925293327185822,"A142_P1","Fringilla coelebs","A142","P1","ELE","O","-0.5",-0.5,"m/year",28,-0.2757599,6.362868,0.03489989,1984,2011,"CONTINUOUS","PROCESSED","no",28,50,"small","abundance-based",-0.608120972715339,"vertebrate","N",0.5,6.362868,"pos","A142_P1","Flousek_al_2015_PlosOne","10.1371/journal.pone.0139465",15.68232,50.7369,4274.74,53.52,1361.6,178.44,1540.04,308.29,1361.6,28,3.3322045101752,"small",1,"RESURVEYED","abundance","(1.97e+03,1.99e+03]","(880,1.75e+03]","[1.54e-05,4.85]","[1,99]","S9678","Animalia","Chordata","Aves","Passeriformes","Fringillidae","Fringilla","Bird","T",15.68232454,50.73690036,14.9785452856365,50.992564795429,16.3814963460795,50.4785615850492,"neg","negpos",6.862868,6.362868,0
"Fringilla coelebs",-16.46087,28.35497168,0.714,0.71830985915493,0.914745483050232,-0.166620995815347,"De Kort","Microsatellite",5009768.53387231,0.760705046573332,1.13812539483693,0.0104196708763807,"A143_P1","Fringilla coelebs","A143","P1","LAT","O","46.6",1.257312,"km/year",27.5,2.348407,NA,0.03828653,1979.5,2006,"TWO","PROCESSED","no",2,128,"large","abundance-based",4.13364796426425,"vertebrate","N",1.257312,2.348407,"pos","A143_P1","Lehikoinen_Virkkala_2016_GCB","10.1111/gcb.13150",26.2766,64.50932,333829.57,922.98,1351.34,0,1351.34,184.01,922.98,2,0.693147180559945,"very_large",4,"RESURVEYED","abundance","(1.97e+03,1.99e+03]","(880,1.75e+03]","(31.3,62.4]","(99,277]","S9718","Animalia","Chordata","Aves","Passeriformes","Fringillidae","Fringilla","Bird","T",26.27659671,64.50932287,27.8066596985863,70.0794219974273,22.9097194672796,59.8049888606475,"pos","pospos",1.091095,1.091095,1.091095
"Fringilla coelebs",-16.46087,28.35497168,0.714,0.71830985915493,0.914745483050232,-0.166620995815347,"De Kort","Microsatellite",5009768.53387231,0.760705046573332,1.13812539483693,0.0104196708763807,"A144_P1","Fringilla coelebs","A144","P1","LAT","O","1.142",1.142,"km/year",37.5,2.348407,NA,0.03828653,1974.5,2011,NA,"PROCESSED","no",5,92,"large","abundance-based",4.13364796426425,"vertebrate","N",1.142,2.348407,"pos","A144_P1","Valimaki_al_2016_Oecologia","10.1007/s00442-015-3525-x",26.2766,64.50932,333829.57,922.98,1351.34,0,1351.34,184.01,922.98,5,1.6094379124341,"very_large",4,"RESURVEYED","abundance","(1.97e+03,1.99e+03]","(880,1.75e+03]","(31.3,62.4]","[1,99]","S9919","Animalia","Chordata","Aves","Passeriformes","Fringillidae","Fringilla","Bird","T",26.27659671,64.50932287,27.8066596985863,70.0794219974273,22.9097194672796,59.8049888606475,"pos","pospos",1.206407,1.206407,1.206407
"Fringilla coelebs",-16.46087,28.35497168,0.714,0.71830985915493,0.914745483050232,-0.166620995815347,"De Kort","Microsatellite",5009768.53387231,0.760705046573332,1.13812539483693,0.0104196708763807,"A155_P1","Fringilla coelebs","A155","P1","LAT","O","0.8",0.8,"km/year",32.5,1.964223,NA,0.03213202,1976.5,2008,"CONTINUOUS","PROCESSED","no",55,29,"small","occurrence-based",4.13364796426425,"vertebrate","N",0.8,1.964223,"pos","A155_P1","Potvin_al_2016_JAB","10.1111/jav.00941",26.2766,64.50932,333829.57,922.98,1351.34,0,1351.34,184.01,922.98,32.5,3.48124008933569,"small",1,"BALANCED","occurrence","(1.97e+03,1.99e+03]","(880,1.75e+03]","(31.3,62.4]","[1,99]","S14644","Animalia","Chordata","Aves","Passeriformes","Fringillidae","Fringilla","Bird","T",26.27659671,64.50932287,27.8066596985863,70.0794219974273,22.9097194672796,59.8049888606475,"pos","pospos",1.164223,1.164223,1.164223
"Fringilla coelebs",-16.46087,28.35497168,0.714,0.71830985915493,0.914745483050232,-0.166620995815347,"De Kort","Microsatellite",3754036.64231751,0.760499460360583,1.13703884348936,0.00955852014250227,"A155_P2","Fringilla coelebs","A155","P2","LAT","O","15.6",15.6,"km/year",55,1.225783,NA,0.02668957,1960,2014,NA,"OPPORTUNISTIC","no",3,29,"large","occurrence-based",6.69549454441304,"vertebrate","N",15.6,1.225783,"pos","A155_P2","Potvin_al_2016_JAB","10.1111/jav.00941",14.62636,53.2406,5925511.01,5183.43,4686.09,0,4686.09,380.08,5183.43,3,1.09861228866811,"large",3,"RAW","occurrence","(1.94e+03,1.97e+03]","(4.09e+03,8.75e+03]","(62.4,1.23e+04]","[1,99]","S14663","Animalia","Chordata","Aves","Passeriformes","Fringillidae","Fringilla","Bird","T",14.62636273,53.24060117,22.8280506131453,80.5133132930741,-15.5908298489184,27.7347202301546,"pos","pospos",-14.374217,-14.374217,0
"Fringilla coelebs",-16.46087,28.35497168,0.714,0.71830985915493,0.914745483050232,-0.166620995815347,"De Kort","Microsatellite",2890914.43090609,0.760242469039335,1.13567931392099,0.00848101939838995,"A16_P1","Fringilla coelebs","A16","P1","ELE","O","7",0.5833333,"m/year",12,0.2762193,6.59215,0.03479165,1993,2004,"TWO","PROCESSED","yes",2,61,"moderate","occurrence-based",-4.40801502642357,"vertebrate","N",0.5833333,6.59215,"pos","A16_P1","Popy_al_2010_JB","10.1111/j.1365-2699.2009.02197.x",8.0935,45.713,105.4,8.77,1665.3,510.02,2175.32,1620.81,1665.3,2,0.693147180559945,"moderate",2,"RESURVEYED","occurrence","(1.99e+03,2.01e+03]","(880,1.75e+03]","[1.54e-05,4.85]","[1,99]","S15329","Animalia","Chordata","Aves","Passeriformes","Fringillidae","Fringilla","Bird","T",8.09349784,45.71299928,8.16888941691309,45.7542788955546,8.01595105509716,45.6730475076364,"pos","pospos",6.0088167,6.0088167,6.0088167
"Fringilla coelebs",-16.46087,28.35497168,0.714,0.71830985915493,0.914745483050232,-0.166620995815347,"De Kort","Microsatellite",3070378.38999819,0.760700152890336,1.13811380289891,0.010410483638289,"A181_P1","Fringilla coelebs","A181","P1","LAT","O","103457",6.466062,"km/year",16,0.576354,8.029236,0.04383365,1994,2009,"CONTINUOUS","PROCESSED","yes",16,80,"moderate","abundance-based",3.44196657478844,"vertebrate","N",6.466062,0.576354,"pos","A181_P1","Massimino_al_2015_BS","10.1080/00063657.2015.1089835",-2.63665,54.0785,227453.59,1068.05,1749,0,1749,152.94,1068.05,16,2.77258872223978,"moderate",2,"BALANCED","abundance","(1.99e+03,2.01e+03]","(880,1.75e+03]","(4.85,31.3]","[1,99]","S16272","Animalia","Chordata","Aves","Passeriformes","Fringillidae","Fringilla","Bird","T",-2.63665413,54.07849786,-1.29444503790813,60.6310997006907,-5.19305610635416,49.95526885997,"pos","pospos",-5.889708,-5.889708,0
"Fringilla coelebs",-16.46087,28.35497168,0.714,0.71830985915493,0.914745483050232,-0.166620995815347,"De Kort","Microsatellite",3070378.38999819,0.760700152890336,1.13811380289891,0.010410483638289,"A181_P1","Fringilla coelebs","A181","P1","ELE","O","-56",-3.5,"m/year",16,0.576354,8.029236,0.04383365,1994,2009,"CONTINUOUS","PROCESSED","yes",16,80,"moderate","abundance-based",3.44196657478844,"vertebrate","N",3.5,8.029236,"pos","A181_P1","Massimino_al_2015_BS","10.1080/00063657.2015.1089835",-2.63665,54.0785,227453.59,1068.05,1749,0,1749,152.94,1749,16,2.77258872223978,"moderate",2,"BALANCED","abundance","(1.99e+03,2.01e+03]","(880,1.75e+03]","(4.85,31.3]","[1,99]","S16325","Animalia","Chordata","Aves","Passeriformes","Fringillidae","Fringilla","Bird","T",-2.63665413,54.07849786,-1.29444503790813,60.6310997006907,-5.19305610635416,49.95526885997,"neg","negpos",11.529236,8.029236,0
"Fringilla coelebs",-17.87536,28.70700051,0.784,0.788732394366197,1.2888975088719,0.129914729199981,"De Kort","Microsatellite",3758803.27475756,0.76080709853373,1.13867565965925,0.010855785521706,"A181_P1","Fringilla coelebs","A181","P1","ELE","LE","-51",-3.1875,"m/year",16,0.576354,8.029236,0.04383365,1994,2009,"CONTINUOUS","PROCESSED","yes",16,80,"moderate","abundance-based",3.44196657478844,"vertebrate","N",3.1875,8.029236,"pos","A181_P1","Massimino_al_2015_BS","10.1080/00063657.2015.1089835",-2.63665,54.0785,227453.59,1068.05,1749,0,1749,152.94,1749,16,2.77258872223978,"moderate",2,"BALANCED","abundance","(1.99e+03,2.01e+03]","(880,1.75e+03]","(4.85,31.3]","[1,99]","S16299","Animalia","Chordata","Aves","Passeriformes","Fringillidae","Fringilla","Bird","T",-2.63665413,54.07849786,-1.29444503790813,60.6310997006907,-5.19305610635416,49.95526885997,"neg","negpos",11.216736,8.029236,0
"Fringilla coelebs",-16.46087,28.35497168,0.714,0.71830985915493,0.914745483050232,-0.166620995815347,"De Kort","Microsatellite",5005438.12551662,0.760704531682446,1.13812267530852,0.0104175155029719,"A247_P1","Fringilla coelebs","A247","P1","LAT","O","0",0,"km/year",27.5,1.945243,NA,0.03213202,1981.5,2008,"TWO","OPPORTUNISTIC","no",2,226,"large","occurrence-based",4.14340294438612,"vertebrate","N",0,1.945243,"pos","A247_P1","Virkkala_Lehikoinen_2017_EE","10.1002/ece3.3328",26.22686,64.47058,337584.69,924.01,1351.34,0,1351.34,184.54,924.01,2,0.693147180559945,"large",3,"RAW","occurrence","(1.97e+03,1.99e+03]","(880,1.75e+03]","(62.4,1.23e+04]","(99,277]","S23365","Animalia","Chordata","Aves","Passeriformes","Fringillidae","Fringilla","Bird","T",26.22685667,64.47058356,27.9630007092154,70.0967925439408,22.880697926668,59.8093528127822,"neg","negpos",1.945243,1.945243,0
"Fringilla coelebs",-16.46087,28.35497168,0.714,0.71830985915493,0.914745483050232,-0.166620995815347,"De Kort","Microsatellite",3423761.00939053,0.760371845207532,1.13636203686117,0.00902211426913335,"A34_P1","Fringilla coelebs","A34","P1","ELE","LE","100",0.9569378,"m/year",104.5,0.1229977,2.831932,0.01539583,1903,2006.5,"TWO","OPPORTUNISTIC","no",2,654,"small","occurrence-based",-4.9140771206328,"vertebrate","N",0.9569378,2.831932,"pos","A34_P1","Bassler_al_2013_PLoSONE","10.1371/journal.pone.0065842",13.46224,48.91963,59.85,10.33,747.67,622.19,1369.86,1113.49,747.67,2,0.693147180559945,"small",1,"RAW","occurrence","[1.8e+03,1.94e+03]","[33.8,880]","[1.54e-05,4.85]","(277,1.33e+03]","S25075","Animalia","Chordata","Aves","Passeriformes","Fringillidae","Fringilla","Bird","T",13.46224319,48.9196343,13.4108323721163,48.9722603325484,13.5192182217436,48.8743775607759,"pos","pospos",1.8749942,1.8749942,1.8749942
"Fringilla coelebs",-16.46087,28.35497168,0.714,0.71830985915493,0.914745483050232,-0.166620995815347,"De Kort","Microsatellite",5005438.12551662,0.760704531682446,1.13812267530852,0.0104175155029719,"A8_P1","Fringilla coelebs","A8","P1","LAT","O","-3.6",-0.3,"km/year",12,-2.304868,NA,-0.03876121,1976.5,1987.5,"TWO","OPPORTUNISTIC","yes",2,148,"large","occurrence-based",4.14340294438612,"vertebrate","N",0.3,-2.304868,"neg","A8_P1","Brommer_al_2012_PLoSONE","10.1371/journal.pone.0043648",26.22686,64.47058,337584.69,924.01,1351.34,0,1351.34,184.54,924.01,2,0.693147180559945,"large",3,"RAW","occurrence","(1.97e+03,1.99e+03]","(880,1.75e+03]","(62.4,1.23e+04]","(99,277]","S28737","Animalia","Chordata","Aves","Passeriformes","Fringillidae","Fringilla","Bird","T",26.22685667,64.47058356,27.9630007092154,70.0967925439408,22.880697926668,59.8093528127822,"neg","negneg",2.004868,2.004868,2.004868
"Fringilla coelebs",-16.46087,28.35497168,0.714,0.71830985915493,0.914745483050232,-0.166620995815347,"De Kort","Microsatellite",5005438.12551662,0.760704531682446,1.13812267530852,0.0104175155029719,"A8_P2","Fringilla coelebs","A8","P2","LAT","O","28.6",1.330233,"km/year",21.5,3.085317,NA,0.04960494,1987.5,2008,"TWO","OPPORTUNISTIC","yes",2,148,"large","occurrence-based",4.14340294438612,"vertebrate","N",1.330233,3.085317,"pos","A8_P2","Brommer_al_2012_PLoSONE","10.1371/journal.pone.0043648",26.22686,64.47058,337584.69,924.01,1351.34,0,1351.34,184.54,924.01,2,0.693147180559945,"large",3,"RAW","occurrence","(1.99e+03,2.01e+03]","(880,1.75e+03]","(62.4,1.23e+04]","(99,277]","S28901","Animalia","Chordata","Aves","Passeriformes","Fringillidae","Fringilla","Bird","T",26.22685667,64.47058356,27.9630007092154,70.0967925439408,22.880697926668,59.8093528127822,"pos","pospos",1.755084,1.755084,1.755084
"Fringilla coelebs",-16.46087,28.35497168,0.714,0.71830985915493,0.914745483050232,-0.166620995815347,"De Kort","Microsatellite",5005438.12551662,0.760704531682446,1.13812267530852,0.0104175155029719,"A8_P3","Fringilla coelebs","A8","P3","LAT","O","25",0.7692308,"km/year",32.5,1.945243,NA,0.03213202,1976.5,2008,"TWO","OPPORTUNISTIC","yes",2,148,"large","occurrence-based",4.14340294438612,"vertebrate","N",0.7692308,1.945243,"pos","A8_P3","Brommer_al_2012_PLoSONE","10.1371/journal.pone.0043648",26.22686,64.47058,337584.69,924.01,1351.34,0,1351.34,184.54,924.01,2,0.693147180559945,"large",3,"RAW","occurrence","(1.97e+03,1.99e+03]","(880,1.75e+03]","(62.4,1.23e+04]","(99,277]","S29025","Animalia","Chordata","Aves","Passeriformes","Fringillidae","Fringilla","Bird","T",26.22685667,64.47058356,27.9630007092154,70.0967925439408,22.880697926668,59.8093528127822,"pos","pospos",1.1760122,1.1760122,1.1760122
"Fringilla coelebs",-16.46087,28.35497168,0.714,0.71830985915493,0.914745483050232,-0.166620995815347,"De Kort","Microsatellite",5415272.31331903,0.76078256653899,1.1385360243663,0.0107451169966817,"A9_P1","Fringilla coelebs","A9","P1","LAT","LE","15",1.25,"km/year",12,-2.304868,NA,-0.03876121,1976.5,1987.5,"TWO","OPPORTUNISTIC","yes",2,150,"large","occurrence-based",4.14340294438612,"vertebrate","N",1.25,-2.304868,"neg","A9_P1","Brommer_2004_AZF","https://www.jstor.org/stable/23735946",26.22686,64.47058,337584.69,924.01,1351.34,0,1351.34,184.54,924.01,2,0.693147180559945,"large",3,"RAW","occurrence","(1.97e+03,1.99e+03]","(880,1.75e+03]","(62.4,1.23e+04]","(99,277]","S29701","Animalia","Chordata","Aves","Passeriformes","Fringillidae","Fringilla","Bird","T",26.22685667,64.47058356,27.9630007092154,70.0967925439408,22.880697926668,59.8093528127822,"pos","posneg",3.554868,2.304868,0
