"spp","N.x","He_harm","He_harm2","He_harm3","ID","sp_name_std_v1","Article_ID","Study_ID","Type","Param","Trend","SHIFT","UNIT","DUR","v.lat.mean","v.ele.mean","START","END","Sampling","Uncertainty_Distribution","Uncertainty_Parameter","N.y","Grain_size","Data","ID.area","group","Hemisphere","SHIFT_abs","velocity","vel_sign","StartF","AreaF","NtaxaF","obs_ID","Kingdom","Phylum","Class","Order","Family","Genus","Group","ECO","centroid.x","centroid.y","max_lat.x","max_lat.y","min_lat.x","min_lat.y","lag","lag2","lag3","SHIFT_cor","shift_sign","shift_vel_sign","shiftC_sign","shiftC_vel_sign","lagC","lagC2","lagC3"
"Abies alba",26,0.361,-1.51210558160863,0.131385600496921,"A153_P1","Abies alba",153,"P1","ELE","TE","22.5",0.652173913043478,"m/year",34.5,0.554725062,4.167398929,1972.5,2006,"TWO","PROCESSED","yes",12,"small","occurrence-based",1.52521332763854,"vascular.plant","N",0.652173913043478,4.167398929,"pos","(1.97e+03,1.99e+03]","[1.54e-05,4.85]","[1,99]","S11","Plantae","Tracheophyta","Pinopsida","Pinales","Pinaceae","Abies","Plant","T",19.67587233,48.84614746,19.4508240846639,49.611740597051,19.012089947693,48.074838221207,3.51522501595652,3.51522501595652,3.51522501595652,-0.0291421310144644,"pos","pospos","neg","negpos",4.19654106001446,4.167398929,0
"Abies alba",26,0.361,-1.51210558160863,0.131385600496921,"A156_P1","Abies alba",156,"P1","ELE","TE","-42",-1.44827586206897,"m/year",29,0.102284704,2.193347313,1977,2005,"TWO","PROCESSED","yes",97,"moderate","occurrence-based",4.14955384241054,"vascular.plant","N",1.44827586206897,2.193347313,"pos","(1.97e+03,1.99e+03]","(62.4,1.23e+04]","[1,99]","S13","Plantae","Tracheophyta","Pinopsida","Pinales","Pinaceae","Abies","Plant","T",2.45872918,46.62622314,2.54166698484352,51.0910987851809,2.67111110679218,42.3383216853975,3.64162317506897,2.193347313,0,-0.258789137113813,"neg","negpos","neg","negpos",2.45213645011381,2.193347313,0
"Abies alba",26,0.361,-1.51210558160863,0.131385600496921,"A156_P1","Abies alba",156,"P1","LAT","TE","8.084519322",0.278776528344828,"km/year",29,0.102284704,2.193347313,1977,2005,"TWO","PROCESSED","yes",97,"moderate","occurrence-based",4.14955384241054,"vascular.plant","N",0.278776528344828,0.102284704,"pos","(1.97e+03,1.99e+03]","(62.4,1.23e+04]","[1,99]","S9","Plantae","Tracheophyta","Pinopsida","Pinales","Pinaceae","Abies","Plant","T",2.45872918,46.62622314,2.54166698484352,51.0910987851809,2.67111110679218,42.3383216853975,-0.176491824344828,-0.176491824344828,0,0.0552650142518479,"pos","pospos","pos","pospos",0.0470196897481521,0.0470196897481521,0.0470196897481521
"Abies balsamea",3,0.048,-3.69705876086369,-1.97256962451128,"A89_P1","Abies balsamea",89,"P1","ELE","O","11",0.255813953488372,"m/year",43,-13.24512691,7.768644114,1970,2012,"TWO","PROCESSED","no",58,"small","abundance-based",-4.93523338444085,"vascular.plant","N",0.255813953488372,7.768644114,"pos","(1.94e+03,1.97e+03]","[1.54e-05,4.85]","[1,99]","S22","Plantae","Tracheophyta","Pinopsida","Pinales","Pinaceae","Abies","Plant","T",-71.15732689,45.45910932,-71.1636762482602,45.507266147115,-71.1493162389532,45.4147614560764,7.51283016051163,7.51283016051163,7.51283016051163,-0.335232105190064,"pos","pospos","neg","negpos",8.10387621919006,7.768644114,0
"Abies balsamea",3,0.048,-3.69705876086369,-1.97256962451128,"A40_P1","Abies balsamea",40,"P1","LAT","O","26.3",2.63,"km/year",30,2.05583316908916,NA,1985,2014,"TWO","PROCESSED","yes",86,"large","abundance-based",5.77643785930427,"vascular.plant","N",2.63,2.05583316908916,"pos","(1.97e+03,1.99e+03]","(62.4,1.23e+04]","[1,99]","S21","Plantae","Tracheophyta","Pinopsida","Pinales","Pinaceae","Abies","Plant","T",-84.86443479,38.71828968,-94.5795944562191,48.7197200216617,-81.057817829729,25.1374317668626,-0.57416683091084,-0.57416683091084,0,0.475499920139212,"pos","pospos","pos","pospos",1.58033324894995,1.58033324894995,1.58033324894995
"Abies balsamea",3,0.048,-3.69705876086369,-1.97256962451128,"A85_P1","Abies balsamea",85,"P1","LAT","O","0.0383",0.177656145833333,"km/year",24,1.946532694,NA,1974,1997,"TWO","PROCESSED","yes",11,"small","occurrence-based",4.61353542957076,"vascular.plant","N",0.177656145833333,1.946532694,"pos","(1.97e+03,1.99e+03]","(62.4,1.23e+04]","[1,99]","S25","Plantae","Tracheophyta","Pinopsida","Pinales","Pinaceae","Abies","Plant","T",-71.65457407,49.5977532,-75.2698617411264,53.3838734734821,-74.6644103092883,44.9896447519038,1.76887654816667,1.76887654816667,1.76887654816667,0.0272302542292535,"pos","pospos","pos","pospos",1.91930243977075,1.91930243977075,1.91930243977075
"Abies balsamea",3,0.048,-3.69705876086369,-1.97256962451128,"A85_P2","Abies balsamea",85,"P2","LAT","O","-0.055",-0.255119791666667,"km/year",24,1.946532694,NA,1974,1997,"TWO","PROCESSED","yes",11,"small","occurrence-based",4.61353542957076,"vascular.plant","N",0.255119791666667,1.946532694,"pos","(1.97e+03,1.99e+03]","(62.4,1.23e+04]","[1,99]","S24","Plantae","Tracheophyta","Pinopsida","Pinales","Pinaceae","Abies","Plant","T",-71.65457407,49.5977532,-75.2698617411264,53.3838734734821,-74.6644103092883,44.9896447519038,2.20165248566667,1.946532694,0,-0.00948988207685879,"neg","negpos","neg","negpos",1.95602257607686,1.946532694,0
"Abies balsamea",3,0.048,-3.69705876086369,-1.97256962451128,"A85_P1","Abies balsamea",85,"P1","LAT","LE","0.1052",0.487974583333333,"km/year",24,1.946532694,NA,1974,1997,"TWO","PROCESSED","yes",11,"small","occurrence-based",4.61353542957076,"vascular.plant","N",0.487974583333333,1.946532694,"pos","(1.97e+03,1.99e+03]","(62.4,1.23e+04]","[1,99]","S23","Plantae","Tracheophyta","Pinopsida","Pinales","Pinaceae","Abies","Plant","T",-71.65457407,49.5977532,-75.2698617411264,53.3838734734821,-74.6644103092883,44.9896447519038,1.45855811066667,1.45855811066667,1.45855811066667,0.242544271612634,"pos","pospos","pos","pospos",1.70398842238737,1.70398842238737,1.70398842238737
"Abies balsamea",3,0.048,-3.69705876086369,-1.97256962451128,"A85_P2","Abies balsamea",85,"P2","LAT","LE","-0.1759",-0.815919479166667,"km/year",24,1.946532694,NA,1974,1997,"TWO","PROCESSED","yes",11,"small","occurrence-based",4.61353542957076,"vascular.plant","N",0.815919479166667,1.946532694,"pos","(1.97e+03,1.99e+03]","(62.4,1.23e+04]","[1,99]","S26","Plantae","Tracheophyta","Pinopsida","Pinales","Pinaceae","Abies","Plant","T",-71.65457407,49.5977532,-75.2698617411264,53.3838734734821,-74.6644103092883,44.9896447519038,2.76245217316667,1.946532694,0,-0.0345262854739934,"neg","negpos","neg","negpos",1.98105897947399,1.946532694,0
"Accipiter cooperii",1,0.762111111,1.16423321393107,0.237821480812508,"A110_P1","Accipiter cooperii",110,"P1","ELE","O","-30.678",-1.46085714285714,"m/year",21,4.157825495,10.57729663,1983,2003,"TWO","OPPORTUNISTIC","yes",135,"moderate","occurrence-based",4.83535496715804,"vertebrate","N",1.46085714285714,10.57729663,"pos","(1.97e+03,1.99e+03]","(62.4,1.23e+04]","(99,254]","S150","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Accipiter","Bird","T",-86.04609649,50.457949,-88.9607676343188,56.8980646002012,-82.478625105664,41.971496954321,12.0381537728571,10.57729663,0,-0.414728733840978,"neg","negpos","neg","negpos",10.992025363841,10.57729663,0
"Accipiter cooperii",1,0.762111111,1.16423321393107,0.237821480812508,"A17_P1","Accipiter cooperii",17,"P1","ELE","O","-80.6",-3.83809523809524,"m/year",21,0.809005424,5.143747603,1982.5,2002.5,"TWO","PROCESSED","yes",129,"moderate","occurrence-based",2.63481014666046,"vertebrate","N",3.83809523809524,5.143747603,"pos","(1.97e+03,1.99e+03]","(4.85,31.3]","(99,254]","S160","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Accipiter","Bird","T",-75.49950594,42.93767741,-73.340885831416,45.0087902435749,-73.9421670142962,40.5523489320576,8.98184284109524,5.143747603,0,-1.06412400579242,"neg","negpos","neg","negpos",6.20787160879242,5.143747603,0
"Accipiter cooperii",1,0.762111111,1.16423321393107,0.237821480812508,"A10_P1","Accipiter cooperii",10,"P1","LAT","O","-1.14",-1.14,"km/year",30,1.019699697,NA,1975,2004,"MULTIPLE","OPPORTUNISTIC","yes",254,"large","abundance-based",6.72705177088108,"vertebrate","N",1.14,1.019699697,"pos","(1.97e+03,1.99e+03]","(62.4,1.23e+04]","(99,254]","S159","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Accipiter","Bird","T",-99.12987897,39.52959007,-95.1527862547818,49.3766517635681,-81.0880584715212,25.1155490878202,2.159699697,1.019699697,0,-0.452489224086393,"neg","negpos","neg","negpos",1.47218892108639,1.019699697,0
"Accipiter cooperii",1,0.762111111,1.16423321393107,0.237821480812508,"A10_P1","Accipiter cooperii",10,"P1","LAT","O","0.4",0.4,"km/year",30,1.019699697,NA,1975,2004,"MULTIPLE","OPPORTUNISTIC","yes",254,"large","abundance-based",6.72705177088108,"vertebrate","N",0.4,1.019699697,"pos","(1.97e+03,1.99e+03]","(62.4,1.23e+04]","(99,254]","S152","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Accipiter","Bird","T",-99.12987897,39.52959007,-95.1527862547818,49.3766517635681,-81.0880584715212,25.1155490878202,0.619699697,0.619699697,0.619699697,0.0130830201619652,"pos","pospos","pos","pospos",1.00661667683803,1.00661667683803,1.00661667683803
"Accipiter cooperii",1,0.762111111,1.16423321393107,0.237821480812508,"A110_P1","Accipiter cooperii",110,"P1","LAT","O","-87.786",-4.18028571428571,"km/year",21,4.157825495,10.57729663,1983,2003,"TWO","OPPORTUNISTIC","yes",135,"moderate","occurrence-based",4.83535496715804,"vertebrate","N",4.18028571428571,4.157825495,"pos","(1.97e+03,1.99e+03]","(62.4,1.23e+04]","(99,254]","S157","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Accipiter","Bird","T",-86.04609649,50.457949,-88.9607676343188,56.8980646002012,-82.478625105664,41.971496954321,8.33811120928571,4.157825495,0,-1.59865906948582,"neg","negpos","neg","negpos",5.75648456448582,4.157825495,0
"Accipiter cooperii",1,0.762111111,1.16423321393107,0.237821480812508,"A122_P1","Accipiter cooperii",122,"P1","LAT","O","-4.8",-0.12,"km/year",40,1.960697262,NA,1966,2005,"CONTINUOUS","PROCESSED","no",290,"large","abundance-based",7.00895970444946,"vertebrate","N",0.12,1.960697262,"pos","(1.94e+03,1.97e+03]","(62.4,1.23e+04]","(254,924]","S155","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Accipiter","Bird","T",-100.5980377,42.16184606,-146.01895861295,62.4869744822866,-80.9158458881772,24.7674231236783,2.080697262,1.960697262,0,-0.345919093452581,"neg","negpos","neg","negpos",2.30661635545258,1.960697262,0
"Accipiter cooperii",1,0.762111111,1.16423321393107,0.237821480812508,"A162_P1","Accipiter cooperii",162,"P1","LAT","O","-0.89",-4.30779347826087,"km/year",23,1.477767272,NA,1979.5,2001.5,"TWO","OPPORTUNISTIC","no",277,"moderate","abundance-based",5.30691442124485,"vertebrate","N",4.30779347826087,1.477767272,"pos","(1.97e+03,1.99e+03]","(62.4,1.23e+04]","(254,924]","S161","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Accipiter","Bird","T",-100.02658655,40.50261078,-100.048893021396,51.0916501847083,-99.2142355066633,29.2612526817659,5.78556075026087,1.477767272,0,-1.66013232314251,"neg","negpos","neg","negpos",3.13789959514251,1.477767272,0
"Accipiter cooperii",1,0.762111111,1.16423321393107,0.237821480812508,"A17_P1","Accipiter cooperii",17,"P1","LAT","O","-11.97",-0.57,"km/year",21,0.809005424,5.143747603,1982.5,2002.5,"TWO","PROCESSED","yes",129,"moderate","occurrence-based",2.63481014666046,"vertebrate","N",0.57,0.809005424,"pos","(1.97e+03,1.99e+03]","(4.85,31.3]","(99,254]","S151","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Accipiter","Bird","T",-75.49950594,42.93767741,-73.340885831416,45.0087902435749,-73.9421670142962,40.5523489320576,1.379005424,0.809005424,0,-0.11720139752247,"neg","negpos","neg","negpos",0.92620682152247,0.809005424,0
"Accipiter cooperii",1,0.762111111,1.16423321393107,0.237821480812508,"A17_P1","Accipiter cooperii",17,"P1","ELE","LE","56.5",2.69047619047619,"m/year",21,0.809005424,5.143747603,1982.5,2002.5,"TWO","PROCESSED","yes",129,"moderate","occurrence-based",2.63481014666046,"vertebrate","N",2.69047619047619,5.143747603,"pos","(1.97e+03,1.99e+03]","(4.85,31.3]","(99,254]","S156","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Accipiter","Bird","T",-75.49950594,42.93767741,-73.340885831416,45.0087902435749,-73.9421670142962,40.5523489320576,2.45327141252381,2.45327141252381,2.45327141252381,0.0433943312097609,"pos","pospos","pos","pospos",5.10035327179024,5.10035327179024,5.10035327179024
"Accipiter cooperii",1,0.762111111,1.16423321393107,0.237821480812508,"A10_P1","Accipiter cooperii",10,"P1","LAT","LE","13.78",13.78,"km/year",30,1.019699697,NA,1975,2004,"MULTIPLE","OPPORTUNISTIC","yes",254,"large","abundance-based",6.72705177088108,"vertebrate","N",13.78,1.019699697,"pos","(1.97e+03,1.99e+03]","(62.4,1.23e+04]","(99,254]","S149","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Accipiter","Bird","T",-99.12987897,39.52959007,-95.1527862547818,49.3766517635681,-81.0880584715212,25.1155490878202,-12.760300303,-12.760300303,0,2.5556323989288,"pos","pospos","pos","pospos",-1.5359327019288,-1.5359327019288,0
"Accipiter cooperii",1,0.762111111,1.16423321393107,0.237821480812508,"A110_P1","Accipiter cooperii",110,"P1","LAT","LE","92.192",4.39009523809524,"km/year",21,4.157825495,10.57729663,1983,2003,"TWO","OPPORTUNISTIC","yes",135,"moderate","occurrence-based",4.83535496715804,"vertebrate","N",4.39009523809524,4.157825495,"pos","(1.97e+03,1.99e+03]","(62.4,1.23e+04]","(99,254]","S154","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Accipiter","Bird","T",-86.04609649,50.457949,-88.9607676343188,56.8980646002012,-82.478625105664,41.971496954321,-0.23226974309524,-0.23226974309524,0,0.63494133706594,"pos","pospos","pos","pospos",3.52288415793406,3.52288415793406,3.52288415793406
"Accipiter cooperii",1,0.762111111,1.16423321393107,0.237821480812508,"A110_P2","Accipiter cooperii",110,"P2","LAT","LE","-3.083",-0.146809523809524,"km/year",21,4.157825495,NA,1983,2003,"TWO","OPPORTUNISTIC","yes",135,"moderate","occurrence-based",4.83535496715804,"vertebrate","N",0.146809523809524,4.157825495,"pos","(1.97e+03,1.99e+03]","(62.4,1.23e+04]","(99,254]","S153","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Accipiter","Bird","T",-86.04609649,50.457949,-88.9607676343188,56.8980646002012,-82.478625105664,41.971496954321,4.30463501880952,4.157825495,0,-0.329126807718578,"neg","negpos","neg","negpos",4.48695230271858,4.157825495,0
"Accipiter cooperii",1,0.762111111,1.16423321393107,0.237821480812508,"A17_P1","Accipiter cooperii",17,"P1","LAT","LE","20",0.952380952380952,"km/year",21,0.809005424,5.143747603,1982.5,2002.5,"TWO","PROCESSED","yes",129,"moderate","occurrence-based",2.63481014666046,"vertebrate","N",0.952380952380952,0.809005424,"pos","(1.97e+03,1.99e+03]","(4.85,31.3]","(99,254]","S158","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Accipiter","Bird","T",-75.49950594,42.93767741,-73.340885831416,45.0087902435749,-73.9421670142962,40.5523489320576,-0.143375528380952,-0.143375528380952,0,-0.00648901904877307,"pos","pospos","neg","negpos",0.815494443048773,0.809005424,0
"Accipiter gentilis",10,0.441,-0.237096391593113,-0.845962327630673,"A110_P1","Accipiter gentilis",110,"P1","ELE","O","-15.411",-0.733857142857143,"m/year",21,4.157825495,10.57729663,1983,2003,"TWO","OPPORTUNISTIC","yes",135,"moderate","occurrence-based",4.83535496715804,"vertebrate","N",0.733857142857143,10.57729663,"pos","(1.97e+03,1.99e+03]","(62.4,1.23e+04]","(99,254]","S177","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Accipiter","Bird","T",-86.04609649,50.457949,-88.9607676343188,56.8980646002012,-82.478625105664,41.971496954321,11.3111537728571,10.57729663,0,-0.243263172410274,"neg","negpos","neg","negpos",10.8205598024103,10.57729663,0
"Accipiter gentilis",10,0.441,-0.237096391593113,-0.845962327630673,"A17_P1","Accipiter gentilis",17,"P1","ELE","O","6.2",0.295238095238095,"m/year",21,0.809005424,5.143747603,1982.5,2002.5,"TWO","PROCESSED","yes",129,"moderate","occurrence-based",2.63481014666046,"vertebrate","N",0.295238095238095,5.143747603,"pos","(1.97e+03,1.99e+03]","(4.85,31.3]","(99,254]","S171","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Accipiter","Bird","T",-75.49950594,42.93767741,-73.340885831416,45.0087902435749,-73.9421670142962,40.5523489320576,4.8485095077619,4.8485095077619,4.8485095077619,-0.0892624919268872,"pos","pospos","neg","negpos",5.23301009492689,5.143747603,0
"Accipiter gentilis",10,0.441,-0.237096391593113,-0.845962327630673,"A110_P1","Accipiter gentilis",110,"P1","LAT","O","7.758",0.369428571428571,"km/year",21,4.157825495,10.57729663,1983,2003,"TWO","OPPORTUNISTIC","yes",135,"moderate","occurrence-based",4.83535496715804,"vertebrate","N",0.369428571428571,4.157825495,"pos","(1.97e+03,1.99e+03]","(62.4,1.23e+04]","(99,254]","S174","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Accipiter","Bird","T",-86.04609649,50.457949,-88.9607676343188,56.8980646002012,-82.478625105664,41.971496954321,3.78839692357143,3.78839692357143,3.78839692357143,-0.223191088519053,"pos","pospos","neg","negpos",4.38101658351905,4.157825495,0
"Accipiter gentilis",10,0.441,-0.237096391593113,-0.845962327630673,"A122_P1","Accipiter gentilis",122,"P1","LAT","O","115.7",2.8925,"km/year",40,1.960697262,NA,1966,2005,"CONTINUOUS","PROCESSED","no",290,"large","abundance-based",7.00895970444946,"vertebrate","N",2.8925,1.960697262,"pos","(1.94e+03,1.97e+03]","(62.4,1.23e+04]","(254,924]","S173","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Accipiter","Bird","T",-100.5980377,42.16184606,-146.01895861295,62.4869744822866,-80.9158458881772,24.7674231236783,-0.931802738,-0.931802738,0,0.56481881940338,"pos","pospos","pos","pospos",1.39587844259662,1.39587844259662,1.39587844259662
"Accipiter gentilis",10,0.441,-0.237096391593113,-0.845962327630673,"A143_P1","Accipiter gentilis",143,"P1","LAT","O","31.4",1.11889584454887,"km/year",27.5,2.348406553,NA,1979.5,2006,"TWO","PROCESSED","no",128,"large","abundance-based",4.13364801313842,"vertebrate","N",1.11889584454887,2.348406553,"pos","(1.97e+03,1.99e+03]","(62.4,1.23e+04]","(99,254]","S170","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Accipiter","Bird","T",26.27659671,64.50932287,27.8066596985863,70.0794219974273,22.9097194672796,59.8049888606475,1.22951070845113,1.22951070845113,1.22951070845113,0.196233660210141,"pos","pospos","pos","pospos",2.15217289278986,2.15217289278986,2.15217289278986
"Accipiter gentilis",10,0.441,-0.237096391593113,-0.845962327630673,"A155_P1","Accipiter gentilis",155,"P1","LAT","O","2",2,"km/year",32.5,1.964223296,NA,1976.5,2008,"CONTINUOUS","PROCESSED","no",29,"small","occurrence-based",4.13364801313842,"vertebrate","N",2,1.964223296,"pos","(1.97e+03,1.99e+03]","(62.4,1.23e+04]","[1,99]","S180","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Accipiter","Bird","T",26.27659671,64.50932287,27.8066596985863,70.0794219974273,22.9097194672796,59.8049888606475,-0.0357767040000001,-0.0357767040000001,0,0.272555628874782,"pos","pospos","pos","pospos",1.69166766712522,1.69166766712522,1.69166766712522
